Language	Boundary_Rate	Total_Func_Words
Latvian	0.9419	50586
Ligurian	0.9533	2142
Lithuanian	0.9506	8589
Lithuanian	0.9436	816
Livvi	0.9706	102
Low_Saxon	0.9520	5393
Luxembourgish	0.9400	50
Macedonian	0.9689	225
Maghrebi_Arabic_French	0.8954	5094
Makurap	0.8235	17
Malayalam	0.8000	195
Maltese	0.9653	13144
Manx	0.9887	5063
Marathi	0.9374	495
Mbya_Guarani	0.5243	2144
Mbya_Guarani	0.8508	248
Middle_French	0.9719	2564
Middle_French	0.9765	27989
Moksha	0.9297	327
Munduruku	0.9568	139
Naga	0.9370	254
Naija	0.9233	19082
Nayini	0.9000	10
Neapolitan	0.9615	52
Nenets	0.7692	104
Nheengatu	0.9077	3306
North_Sami	0.6979	2046
Northern_Kurdish	0.9423	2480
Northwest_Gbaya	0.9799	546
Norwegian	0.9580	72917
Norwegian	0.9584	74798
Occitan	0.9677	7955
Odia	0.7768	112
Old_Church_Slavonic	0.9548	43787
Old_East_Slavic	0.9400	6497
Old_East_Slavic	0.9500	44474
Old_East_Slavic	0.9550	36736
Old_East_Slavic	0.9566	63129
Old_English	0.9667	30
Old_French	0.9829	5198
Old_French	0.9789	60377
Old_Irish	0.8280	93
Old_Irish	0.7551	98
Old_Occitan	0.9844	16830
Old_Turkish	0.9048	21
Ottoman_Turkish	0.8201	1045
Ottoman_Turkish	0.9569	2438
Pashto	0.9603	1008
Paumari	0.9655	58
Persian	0.9688	117572
Persian	0.9783	34549
Pesh	0.7743	443
Phrygian	0.9056	286
Polish	0.9689	19093
Polish	0.9401	9957
Polish	0.9691	64443
Polish	0.9678	3476
Pomak	0.9505	6086
Portuguese	0.9732	79319
Portuguese	0.9186	159120
Portuguese	0.9646	17927
Portuguese	0.9825	110437
Portuguese	0.9780	8167
Portuguese	0.9772	87681
Portuguese	0.9769	56039
Romanian	0.9659	88
Romanian	0.8485	33
Romanian	0.9676	134891
Romanian	0.9596	52194
Romanian	0.9583	33589
Romanian	0.9345	932
Russian	0.9748	15815
Russian	0.9681	3575
Russian	0.9546	10892
Russian	0.9528	278948
Russian	0.9522	301705
Sanskrit	0.7094	117
Sanskrit	0.6920	7841
Scottish_Gaelic	0.9562	22738
Serbian	0.9642	19896
Shanghainese	0.5699	558
Sicilian	0.9591	3057
Sindhi	0.9392	23257
Sinhala	0.7925	53
Skolt_Sami	0.9515	268
Slovak	0.9538	18275
Slovenian	0.9322	53724
Slovenian	0.8339	19251
Soi	0.8333	6
South_Levantine_Arabic	0.9556	135
Southern_Kurdish	0.9297	185
Spanish	0.9791	199746
Spanish	0.9028	2180
Spanish	0.9776	153915
Spanish	0.9823	8143
Spanish_Sign_Language	0.9535	43
Swedish	0.9473	22733
Swedish	0.9643	112
Swedish	0.9646	4468
Swedish	0.9651	1832
Swedish	0.9581	21979
Swedish_Sign_Language	0.8878	98
Tagalog	0.9897	195
Tagalog	0.9754	244
Tamil	0.9688	128
Tamil	0.9194	459
Tatar	0.9720	143
Teko	0.8571	231
Telugu	0.9268	287
Telugu_English	0.8077	26
Thai	0.9849	4770
Thai	0.9827	12751
Tswana	0.9231	13
Tupinamba	0.8386	378
Turkish	0.6258	3252
Turkish	0.8169	11429
Turkish	0.8568	1494
Turkish	0.8577	1701
Turkish	0.8610	6461
Turkish	0.8004	16426
Turkish	0.8181	1886
Turkish	0.8226	16401
Turkish	0.7239	6408
Turkish	0.7429	35
Turkish_English	0.8889	54
Turkish_German	0.8621	5527
Ukrainian	0.9616	22819
Ukrainian	0.9666	19370
Umbrian	0.6933	150
Upper_Sorbian	0.9508	1992
Urdu	0.9580	36221
Uyghur	0.8278	1597
Uzbek	0.9024	41
Uzbek	0.9225	400
Uzbek	0.8480	329
Veps	0.9684	95
Vietnamese	0.9587	315
Vietnamese	0.9241	6599
Warlpiri	1.0000	1
Welsh	0.9789	12751
Western_Armenian	0.9173	18845
Western_Sierra_Puebla_Nahuatl	0.9524	1869
Wolof	0.9577	8468
Xavante	0.8857	280
Xibe	0.9861	2154
Yakut	0.9623	106
Yiddish	0.9036	5962
Yoruba	0.8132	1665
Yupik	1.0000	9
Zaar	0.9027	2384
